Row ,Facility,Latitude,Longitude,Total On site,Total Off site,Total On and off site disposal
1,"A FINKL & SONS CO DBA FINKL STEEL - CHICAGO.1355 E 93RD ST, CHICAGO ILLINOIS 60619 (COOK)",41.729,-87.592,499,"1,212,771.00","1,213,270.00"
 ,CHROMIUM, , ,164,"242,026.00","242,190.00"
 ,LEAD, , ,60,"6,424.00","6,484.00"
 ,MANGANESE, , ,128,"849,071.00","849,199.00"
 ,MOLYBDENUM TRIOXIDE, , ,25,"2,241.00","2,266.00"
 ,NICKEL, , ,70,"22,829.00","22,899.00"
 ,ZINC (FUME OR DUST), , ,52,"90,180.00","90,232.00"
2,"AALLIED DIE CASTING CO OF IL.3021 CULLERTON DR, FRANKLIN PARK ILLINOIS 60131 (COOK)",41.934,-87.891,"1,944.00",.,"1,944.00"
 ,ALUMINUM (FUME OR DUST), , ,"1,577.00",.,"1,577.00"
 ,CHROMIUM, , ,13,.,13
 ,COPPER, , ,79,.,79
 ,LEAD, , ,9,.,9
 ,MANGANESE, , ,45,.,45
 ,NICKEL, , ,65,.,65
 ,ZINC (FUME OR DUST), , ,156,.,156
3,"ABLE DIE CASTING CORP.3907 WESLEY TERRACE, SCHILLER PARK ILLINOIS 60176 (COOK)",41.95,-87.863,159,0,159
 ,COPPER COMPOUNDS, , ,158,0,158
 ,LEAD COMPOUNDS, , ,1,0,1
4,"ABLE ELECTROPOLISHING CO INC.2001 S KILBOURN AVE, CHICAGO ILLINOIS 60623 (COOK)",41.854,-87.736,"23,414.60","16,550.00","39,964.60"
 ,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION), , ,5.6,"16,143.00","16,148.60"
 ,LEAD, , ,0,11,11
 ,MANGANESE, , ,.,.,.
 ,NICKEL, , ,0,396,396
 ,NITRATE COMPOUNDS, , ,0,.,0
 ,NITRIC ACID, , ,660,.,660
 ,TRICHLOROETHYLENE, , ,"22,749.00",.,"22,749.00"
5,"ACCURATE ANODIZING.3130 S AUSTIN BLVD, CICERO ILLINOIS 60804 (COOK)",41.835,-87.774,38,.,38
 ,NITRATE COMPOUNDS, , ,0,.,0
 ,NITRIC ACID, , ,38,.,38
6,"ACCURATE DISPERSIONS.1111 MAPLE AVE, HOMEWOOD ILLINOIS 60430 (COOK)",41.567,-87.645,30,524.47,554.47
 ,ETHYLENE GLYCOL, , ,30,520,550
 ,LEAD, , ,0,4.47,4.47
7,"ACCURATE DISPERSIONS.192 W 155TH ST, SOUTH HOLLAND ILLINOIS 60473 (COOK)",41.614,-87.622,"3,985.00","1,529.74","5,514.74"
 ,"1,2,4-TRIMETHYLBENZENE", , ,58,.,58
 ,ANTIMONY COMPOUNDS, , ,.,.,.
 ,CERTAIN GLYCOL ETHERS, , ,36,26,62
 ,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION), , ,4,583,587
 ,ETHYLBENZENE, , ,419,.,419
 ,ETHYLENE GLYCOL, , ,37,899,936
 ,LEAD, , ,0,21.74,21.74
 ,MANGANESE COMPOUNDS, , ,.,.,.
 ,METHYL ISOBUTYL KETONE, , ,688,.,688
 ,NAPHTHALENE, , ,.,.,.
 ,NICKEL COMPOUNDS, , ,.,.,.
 ,TOLUENE, , ,992,.,992
 ,VANADIUM COMPOUNDS, , ,.,.,.
 ,XYLENE (MIXED ISOMERS), , ,"1,751.00",.,"1,751.00"
 ,ZINC COMPOUNDS, , ,.,.,.
8,"ACCURATE THREADED FASTNERS.3550 W PRATT, LINCOLNWOOD ILLINOIS 60712 (COOK)",42.006,-87.723,0,0,0
 ,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION), , ,0,0,0
 ,COPPER COMPOUNDS, , ,0,0,0
 ,NICKEL COMPOUNDS, , ,0,0,0
9,"ACE ANODIZING & IMPREGNATING INC.4161 BUTTERFIELD RD, HILLSIDE ILLINOIS 60162 (COOK)",41.881,-87.885,"1,174.00",75,"1,249.00"
 ,LEAD COMPOUNDS, , ,0,75,75
 ,NITRATE COMPOUNDS, , ,0,.,0
 ,NITRIC ACID, , ,"1,174.00",.,"1,174.00"
10,"ACID PRODUCTS CO INC.600 W 41ST ST, CHICAGO ILLINOIS 60609 (COOK)",41.821,-87.642,.,.,.
 ,FORMALDEHYDE, , ,.,.,.
 ,FORMIC ACID, , ,.,.,.
 ,HYDROGEN FLUORIDE, , ,.,.,.
 ,METHANOL, , ,.,.,.
 ,NITRIC ACID, , ,.,.,.
11,"ACME ALLIANCE LLC.3610 COMMERCIAL AVE, NORTHBROOK ILLINOIS 60062 (COOK)",42.147,-87.868,260.5,2.45,262.95
 ,COPPER, , ,217.7,0,217.7
 ,LEAD, , ,10.7,2.25,12.95
 ,NICKEL, , ,32.1,0.2,32.3
12,"ACME FINISHING CO LLC.1595 E OAKTON ST, ELK GROVE VILLAGE ILLINOIS 60007 (COOK)",42.021,-87.962,"11,238.00",.,"11,238.00"
 ,CERTAIN GLYCOL ETHERS, , ,"11,238.00",.,"11,238.00"
13,"ADHESIVE COATING TECHNOLOGIES INC.420 NORTHGATE PKWY, WHEELING ILLINOIS 60090 (COOK)",42.147,-87.929,"1,458.00",.,"1,458.00"
 ,TOLUENE, , ,"1,458.00",.,"1,458.00"
14,"AFTON CHEMICAL CORP.7201 W 65TH ST, BEDFORD PARK ILLINOIS 60638 (COOK)",41.773,-87.802,.,.,.
 ,CERTAIN GLYCOL ETHERS, , ,.,.,.
 ,DIETHANOLAMINE, , ,.,.,.
