,company_list,location,title,salary,education,programming_languages,soft_skills,keywords,benefits,state
0,Seen by Indeed,"Chicago, IL",Data Scientist,,,,,,,IL
1,"Prenosis, Inc.","Chicago, IL (Bronzeville area)","Software Engineer, Applied Machine Learning","$90,000 - $110,000 a year",,P,,Machine Learning,Dental,IL
2,eBay Inc.,"San Jose, CA",Data Scientist 1,,,,,,,CA
3,Humana,"Boston, MA 02210 (South Boston area)",Lead Data Scientist,,,,Flexible,Deep Learning,Healthcare,MA
4,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",,,,Artificial Intelligence,Dental,GA
5,Spectrum Communications & Consulting Inc.,"Chicago, IL",Data Engineer,,,,Flexible,,Retirement,IL
6,iQuartic,"Boston, MA 02199 (Back Bay area)",OCR Data Scientist,,,,Flexible,,Retirement,MA
7,Humana,"Boston, MA 02298","Senior Data Scientist, Analytics Platform as a Service",,,,,Machine Learning,,MA
8,Humana,"Boston, MA 02298",Senior Data Scientist,,,,,,,MA
9,Seen by Indeed,"Chicago, IL",Data Scientist,,,,,,,IL
10,Spectrum Communications & Consulting Inc.,"Chicago, IL",Data Engineer,,,,Flexible,,Retirement,IL
11,"Vizient, Inc.","Chicago, IL 60606 (The Loop area)",Data Scientist,,,,Communication,,,IL
12,"Prenosis, Inc.","Chicago, IL (Bronzeville area)","Software Engineer, Applied Machine Learning","$90,000 - $110,000 a year",,P,,Machine Learning,Dental,IL
13,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",,,,Artificial Intelligence,Dental,GA
14,iQuartic,"Boston, MA 02199 (Back Bay area)",OCR Data Scientist,,,,Flexible,,Retirement,MA
15,GEICO,"Chevy Chase, MD",Data Scientist,,,,Flexible,,,MD
16,Spectrum Communications & Consulting Inc.,"Chicago, IL",Data Engineer,,,,Flexible,,Retirement,IL
17,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",,,,Artificial Intelligence,Dental,GA
18,Seen by Indeed,"Chicago, IL",Data Scientist,,,,,,,IL
19,iQuartic,"Boston, MA 02199 (Back Bay area)",OCR Data Scientist,,,,Flexible,,Retirement,MA
20,"Prenosis, Inc.","Chicago, IL (Bronzeville area)","Software Engineer, Applied Machine Learning","$90,000 - $110,000 a year",,P,,Machine Learning,Dental,IL
21,"Vizient, Inc.","Chicago, IL 60606 (The Loop area)",Data Scientist,,,,Communication,,,IL
22,eBay Inc.,"San Jose, CA",Data Scientist 1,,,,,,,CA
23,TRIARQ Health,"Troy, MI",Lead Data Scientist,,,,,,,MI
24,TRIARQ Health,"Troy, MI",Lead Data Scientist,,,,,,,MI
