,company_list,location,title,salary,education,programming_languages,soft_skills,keywords,benefits,state
0,Seen by Indeed,"Chicago, IL",Data Scientist,,[],[],[],[],[],IL
1,Tsunami Tsolutions,"Glastonbury, CT 06033",Data Scientist/Analyst,,[],['Python'],['Flexible'],['Machine Learning'],"['Retirement', 'Dental']",CT
2,Central Intelligence Agency,"Washington, DC",Data Scientist,"$67,968 - $126,062 a year",['Bachelor'],[],['Leadership'],[],[],DC
3,Central Intelligence Agency,"Washington, DC",Undergraduate Internship/Co-op Program - Data Scientist,"$45,775 - $55,165 a year",['Bachelor'],[],['Leadership'],[],[],DC
4,Central Intelligence Agency,"Washington, DC",Graduate Studies Program - Data Scientist,"$56,698 - $76,377 a year",['Bachelor'],[],['Leadership'],[],[],DC
5,"Daman, Inc.","San Antonio, TX",Data Scientist,"$120,000 - $140,000 a year",[],['Python'],[],[],[],TX
6,FPT Software,"Mettawa, IL",Data Scientist,,[],"['Python', ' SQL ']",[],[],[],IL
7,FPT Software,"Mettawa, IL",Data Scientist,,[],"['Python', ' SQL ']",[],[],[],IL
8,Chemlock Nutrition,"Cincinnati, OH",Data Scientist and Software Engineer,"$80,000 - $90,000 a year","['Bachelor', 'Associate']",[],[],[],"['401K', 'Retirement', 'Dental']",OH
9,Delaware Electric Cooperative,"Greenwood, DE 19950",Data Scientist,,['Bachelor'],"['Python', 'scala', 'julia']",[],['Artificial Intelligence'],['Retirement'],DE
10,"Daman, Inc.","San Antonio, TX",Data Scientist,"$120,000 - $140,000 a year",[],['Python'],[],[],[],TX
11,Central Intelligence Agency,"Washington, DC",Data Scientist,"$67,968 - $126,062 a year",['Bachelor'],[],['Leadership'],[],[],DC
12,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",[],"['Python', ' SQL ']",[],"['Artificial Intelligence', 'Neural Network']","['Dental', 'Vision']",GA
13,Tsunami Tsolutions,"Glastonbury, CT 06033",Data Scientist/Analyst,,[],['Python'],['Flexible'],['Machine Learning'],"['Retirement', 'Dental']",CT
14,Seen by Indeed,"Chicago, IL",Data Scientist,,[],[],[],[],[],IL
15,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",[],"['Python', ' SQL ']",[],"['Artificial Intelligence', 'Neural Network']","['Dental', 'Vision']",GA
16,FPT Software,"Mettawa, IL",Data Scientist,,[],"['Python', ' SQL ']",[],[],[],IL
17,Chemlock Nutrition,"Cincinnati, OH",Data Scientist and Software Engineer,"$80,000 - $90,000 a year","['Bachelor', 'Associate']",[],[],[],"['401K', 'Retirement', 'Dental']",OH
18,Spectrum Communications & Consulting Inc.,"Chicago, IL",Data Engineer,,['Bachelor'],"['Python', ' SQL ']",['Flexible'],[],"['Retirement', 'Dental']",IL
19,"Daman, Inc.","San Antonio, TX",Data Scientist,"$120,000 - $140,000 a year",[],['Python'],[],[],[],TX
20,Delaware Electric Cooperative,"Greenwood, DE 19950",Data Scientist,,['Bachelor'],"['Python', 'scala', 'julia']",[],['Artificial Intelligence'],['Retirement'],DE
21,Central Intelligence Agency,"Washington, DC",Data Scientist,"$67,968 - $126,062 a year",['Bachelor'],[],['Leadership'],[],[],DC
22,Seen by Indeed,"Chicago, IL",Data Scientist,,[],[],[],[],[],IL
23,Central Intelligence Agency,"Washington, DC",Data Scientist,"$67,968 - $126,062 a year",['Bachelor'],[],['Leadership'],[],[],DC
24,FPT Software,"Mettawa, IL",Data Scientist,,[],"['Python', ' SQL ']",[],[],[],IL
25,Chemlock Nutrition,"Cincinnati, OH",Data Scientist and Software Engineer,"$80,000 - $90,000 a year","['Bachelor', 'Associate']",[],[],[],"['401K', 'Retirement', 'Dental']",OH
26,iQuartic,"Boston, MA 02199 (Back Bay area)",OCR Data Scientist,,[],['Python'],['Flexible'],['Neural Network'],"['Retirement', 'Dental', 'Vision']",MA
27,"Daman, Inc.","San Antonio, TX",Data Scientist,"$120,000 - $140,000 a year",[],['Python'],[],[],[],TX
28,Delaware Electric Cooperative,"Greenwood, DE 19950",Data Scientist,,['Bachelor'],"['Python', 'scala', 'julia']",[],['Artificial Intelligence'],['Retirement'],DE
29,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",[],"['Python', ' SQL ']",[],"['Artificial Intelligence', 'Neural Network']","['Dental', 'Vision']",GA
30,Seen by Indeed,"Chicago, IL",Data Scientist,,[],[],[],[],[],IL
31,Delaware Electric Cooperative,"Greenwood, DE 19950",Data Scientist,,['Bachelor'],"['Python', 'scala', 'julia']",[],['Artificial Intelligence'],['Retirement'],DE
32,Tsunami Tsolutions,"Glastonbury, CT 06033",Data Scientist/Analyst,,[],['Python'],['Flexible'],['Machine Learning'],"['Retirement', 'Dental']",CT
33,"Daman, Inc.","San Antonio, TX",Data Scientist,"$120,000 - $140,000 a year",[],['Python'],[],[],[],TX
34,Allstate,"Chicago, IL",Data Scientist: Deep Learning & NLP,,[],['Python'],[],['Deep Learning'],[],IL
35,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",[],"['Python', ' SQL ']",[],"['Artificial Intelligence', 'Neural Network']","['Dental', 'Vision']",GA
36,FPT Software,"Mettawa, IL",Data Scientist,,[],"['Python', ' SQL ']",[],[],[],IL
37,GEICO,"Chevy Chase, MD",Data Scientist,,"['Bachelor', 'Associate']",['Python'],['Flexible'],[],[],MD
38,Seen by Indeed,"Chicago, IL",Data Scientist,,[],[],[],[],[],IL
39,Delaware Electric Cooperative,"Greenwood, DE 19950",Data Scientist,,['Bachelor'],"['Python', 'scala', 'julia']",[],['Artificial Intelligence'],['Retirement'],DE
40,Tsunami Tsolutions,"Glastonbury, CT 06033",Data Scientist/Analyst,,[],['Python'],['Flexible'],['Machine Learning'],"['Retirement', 'Dental']",CT
41,"Daman, Inc.","San Antonio, TX",Data Scientist,"$120,000 - $140,000 a year",[],['Python'],[],[],[],TX
42,Allstate,"Chicago, IL",Data Scientist: Deep Learning & NLP,,[],['Python'],[],['Deep Learning'],[],IL
43,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",[],"['Python', ' SQL ']",[],"['Artificial Intelligence', 'Neural Network']","['Dental', 'Vision']",GA
44,FPT Software,"Mettawa, IL",Data Scientist,,[],"['Python', ' SQL ']",[],[],[],IL
45,GEICO,"Chevy Chase, MD",Data Scientist,,"['Bachelor', 'Associate']",['Python'],['Flexible'],[],[],MD
46,Seen by Indeed,"Chicago, IL",Data Scientist,,[],[],[],[],[],IL
47,Delaware Electric Cooperative,"Greenwood, DE 19950",Data Scientist,,['Bachelor'],"['Python', 'scala', 'julia']",[],['Artificial Intelligence'],['Retirement'],DE
48,"Daman, Inc.","San Antonio, TX",Data Scientist,"$120,000 - $140,000 a year",[],['Python'],[],[],[],TX
49,Allstate,"Chicago, IL",Data Scientist: Deep Learning & NLP,,[],['Python'],[],['Deep Learning'],[],IL
50,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",[],"['Python', ' SQL ']",[],"['Artificial Intelligence', 'Neural Network']","['Dental', 'Vision']",GA
51,FPT Software,"Mettawa, IL",Data Scientist,,[],"['Python', ' SQL ']",[],[],[],IL
52,Tsunami Tsolutions,"Glastonbury, CT 06033",Data Scientist/Analyst,,[],['Python'],['Flexible'],['Machine Learning'],"['Retirement', 'Dental']",CT
53,Seen by Indeed,"Chicago, IL",Data Scientist,,[],[],[],[],[],IL
54,Headway,"Atlanta, GA",Data Scientist,"$100,000 - $125,000 a year",[],"['Python', ' SQL ']",[],"['Artificial Intelligence', 'Neural Network']","['Dental', 'Vision']",GA
55,Tsunami Tsolutions,"Glastonbury, CT 06033",Data Scientist/Analyst,,[],['Python'],['Flexible'],['Machine Learning'],"['Retirement', 'Dental']",CT
56,"Daman, Inc.","San Antonio, TX",Data Scientist,"$120,000 - $140,000 a year",[],['Python'],[],[],[],TX
